Name,ABV(%),Calories,Carbs,Protein,Ingredients
Michelob Ultra,4.2,95,2.6,0.6,water; barley; rice; hops
Busch Light,4.2,95,11.2,1.7,water; barley; rice; hops
Michelob ULTRA Amber,4,89,3.2,0.9,ancient grains, oats, rye, and blue agave
Miller Light,96,96,5,1,water; barley malt; corn syrup; yeast; hop extract; hops
Amstel Light,96,96,5,1,water; Malted Barley; Glucose; Hops
Beck's NA (non-alcoholic),0.05,57,11,1.17,barley; hops; yeast; water
Coors Light,4.2,102,5,1,water; barley malt; corn syrup; hop extract; lager yeast
Stella Artois,5,141,10.9,1.2,barley; hops; water
Bud Light,4.2,110,6.6,0.9,water; barley; rice; hops
Budweiser,5,145,10.6,1.3,barley; rice; hops; water
Beck's Dark pilsner,5,142,3.2,0.7,barley malt; hops; water; yeast
Bud Light Lime,4.2,116,8,0.9,water; Corn; Barley; Cane Sugar; Citric Acid; Natural Flavor;lime Peel; Hop Extract
Keystone Light,4.1,101,4.7,1,water; barley malt; corn syrup; yeast; hop extract
Michelob Light,4.1,122,8.9,1.2,hops; barley malt; caramel malt; yeast; water; rice
Guinness,4.2,125,10,1,roasted malted barley; hops; yeast; water
Beck's,5,146,10.4,1.8,barley; hops; yeast; water
Michelob Lager,4.8,158,14.4,1.9,barley malt; hops
Blue Moon Belgian White,5.4,168,16.3,1.9,water;barley malt;yeast;wheat;hop extract;oats;coriander;orange peel
Sierra Nevada Pale Ale,5.6,175,14,1.5,malts; hops; yeast
Bud Light Lime-A-Rita,8,220,29,0,malted barley; cereal grains; yeast; hops; flavors; sweetners;lime peel
Angry Orchard Hard Cider,5,260,33,0,Hard Cider, Water, Cane Sugar, Apple Juice, Malic Acid, Natural Flavor, Carbon Dioxide
Shiner Bock,4.4,99,3.8,7,Hard Cider; Water; Cane Sugar; Apple Juice; Malic Acid; Natural Flavor; Carbon Dioxide
Tecate,4.6,141,12,1,yeast; water; hops; malts
Dos Equis,4.2,131,11,0.4,water; malted barley; corn starch; corn syrup; hops; ascorbic acid
Corona Extra,4.5,150,14,1,water; barley malt; non-malted cereals; hops
Corona Premier,4,90,2.6,0.7,water, Barley Malt, Non-malted Cereals, Hops
Modelo Especial,4.4,107,6.2,1,water; barley malt; non-malted cereals; hops
Negra Modelo,5.4,160,15,1,water; barley malt; non-malted cereals; hops
Miller High Life,4.6,141,1,12.2,water; barley malt; corn syrup; yeast; hop extract
Coors Banquet,5,147,11.7,1,water; barley malt; corn syrup; yeast; hop extract
Natural Light,4.2,95,3.2,0.7,water; barley malt; cereal grains; yeast; hops
